maxtempF,mintempF,avgtempF,totalprecipIn
17,4,8,0.0
19,3,12,0.28
26,19,22,0.31
28,22,24,0.06
33,22,26,0.0
34,19,25,0.0
32,17,23,0.0
30,16,21,0.0
26,13,18,0.0
28,16,22,0.06
31,22,27,0.94
33,24,29,0.68
31,17,24,0.0
33,16,25,0.1
32,24,28,0.68
31,25,29,0.29
34,26,29,0.06
32,23,28,0.34
33,29,31,0.33
32,30,31,0.91
35,24,31,0.29
33,26,30,0.65
32,21,27,0.03
35,18,26,0.0
35,25,32,0.19
35,31,33,0.09
37,27,33,0.89
31,26,28,0.56
29,20,25,0.1
29,17,23,0.0
29,18,24,0.04
31,16,22,0.0
30,18,24,0.38
33,28,31,0.47
35,25,31,0.19
33,21,28,0.22
38,20,28,0.0
39,25,31,0.0
40,26,32,0.0
41,29,35,0.04
41,31,35,0.24
41,30,35,0.43
35,29,32,0.6
36,33,35,1.21
38,34,36,1.35
37,30,35,0.38
38,31,34,0.42
34,27,31,0.38
34,27,30,0.63
33,21,27,0.07
